['Jul 22, 2020' '96.69' '97.97' '96.60' '97.27' '97.10' '89001600']
['Jul 21, 2020' '99.17' '99.25' '96.74' '97.00' '96.83' '103646000']
['Jul 20, 2020' '96.42' '98.50' '96.06' '98.36' '98.18' '90318000']
['Jul 17, 2020' '96.99' '97.15' '95.84' '96.33' '96.15' '92186800']
['Jul 16, 2020' '96.56' '97.40' '95.90' '96.52' '96.35' '110577600']
['Jul 15, 2020' '98.99' '99.25' '96.49' '97.72' '97.55' '153198000']
['Jul 14, 2020' '94.84' '97.25' '93.88' '97.06' '96.88' '170989200']
['Jul 13, 2020' '97.26' '99.96' '95.26' '95.48' '95.31' '191649200']
['Jul 10, 2020' '95.33' '95.98' '94.71' '95.92' '95.75' '90257200']
['Jul 09, 2020' '96.26' '96.32' '94.67' '95.75' '95.58' '125642800']
['Jul 08, 2020' '94.18' '95.38' '94.09' '95.34' '95.17' '117092000']
['Jul 07, 2020' '93.85' '94.65' '93.06' '93.17' '93.00' '112424400']
['Jul 06, 2020' '92.50' '93.94' '92.47' '93.46' '93.29' '118655600']
['Jul 02, 2020' '91.96' '92.62' '90.91' '91.03' '90.86' '114041600']
['Jul 01, 2020' '91.28' '91.84' '90.98' '91.03' '90.86' '110737200']
['Jun 30, 2020' '90.02' '91.50' '90.00' '91.20' '91.04' '140223200']
['Jun 29, 2020' '88.31' '90.54' '87.82' '90.44' '90.28' '130646000']
['Jun 26, 2020' '91.10' '91.33' '88.25' '88.41' '88.25' '205256800']
['Jun 25, 2020' '90.18' '91.25' '89.39' '91.21' '91.05' '137522400']
['Jun 24, 2020' '91.25' '92.20' '89.63' '90.01' '89.85' '192623200']
['Jun 23, 2020' '91.00' '93.10' '90.57' '91.63' '91.47' '212155600']
['Jun 22, 2020' '87.83' '89.86' '87.79' '89.72' '89.56' '135445200']
['Jun 19, 2020' '88.66' '89.14' '86.29' '87.43' '87.27' '264476000']
['Jun 18, 2020' '87.85' '88.36' '87.31' '87.93' '87.77' '96820400']
['Jun 17, 2020' '88.79' '88.85' '87.77' '87.90' '87.74' '114406400']
['Jun 16, 2020' '87.86' '88.30' '86.18' '88.02' '87.86' '165428800']
['Jun 15, 2020' '83.31' '86.42' '83.14' '85.75' '85.59' '138808800']
['Jun 12, 2020' '86.18' '86.95' '83.56' '84.70' '84.55' '200146000']
['Jun 11, 2020' '87.33' '87.76' '83.87' '83.97' '83.82' '201662400']
['Jun 10, 2020' '86.97' '88.69' '86.52' '88.21' '88.05' '166651600']
['Jun 09, 2020' '83.04' '86.40' '83.00' '86.00' '85.84' '147712400']
['Jun 08, 2020' '82.56' '83.40' '81.83' '83.36' '83.21' '95654400']
['Jun 05, 2020' '80.84' '82.94' '80.81' '82.88' '82.73' '137250400']
['Jun 04, 2020' '81.10' '81.40' '80.19' '80.58' '80.43' '87560400']
['Jun 03, 2020' '81.17' '81.55' '80.57' '81.28' '81.13' '104491200']
['*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.'
 '*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.']
